id,rank,win%,k/d,dmg/rnd,region,acc_head_%,acc_head_hits,acc_body_%,acc_body_hits,acc_leg_%,acc_leg_hits,matchs_played,headshot_%,wins_total,kills_total,avg_kill_per_rnd,top_agent_nam,top_agent_time_hrs,top_agent_matchs,top_agent_win_%,top_agent_kd_avg,top_agent_adr
CTC RÆN#miku,Gold 2,63,0.99,148,ID,16.5,195,72.5,856,10.9,129,134,21.7,61,"2,094",0.7,Reyna,22,39,53.8,1.16,176.2
aurry#nini,Platinum 3,42.9,1.24,146.3,ID,19.9,220,72.8,804,7.2,80,274,16.2,145,"3,893",0.7,Killjoy,27,48,35.4,0.87,129.3
Whiffer#dedzy,Platinum 2,50,1.22,161.8,US,20.8,246,73.2,866,6,71,211,14.5,111,"2,442",0.6,Sage,34,60,58.3,0.67,99.8
HRi7iK#2911,Silver 1,51.7,1.24,151.9,IN,26,236,68.1,617,5.8,53,511,20.3,253,"9,229",0.9,Chamber,74,120,55.8,1.43,164.9
Jupiter#3709,Diamond 2,63.6,1.09,144.9,US,21.3,201,72.8,687,5.9,56,506,17.7,265,"7,671",0.7,Viper,96,166,54.8,1,140.8
PAIN#7426,Platinum 1,47.4,0.99,132,IN,16,216,76,1025,7.9,107,"1,322",14.6,642,"20,436",0.7,Viper,258,435,48.7,1.01,137.5
Lenia#2359,Bronze 1,42.6,0.76,108.3,IN,19,165,75.4,654,5.5,48,88,17.3,42,978,0.6,Viper,21,37,35.1,0.74,107.5
Dymo#gomi,Diamond 3,70,1.15,161,US,23.5,246,71.6,749,4.9,51,"1,188",15.1,584,"18,699",0.7,Omen,104,187,44.9,0.99,139.2
FFedexS#0000,Bronze 3,48.9,0.81,126.3,IT,8.9,113,76.4,967,14.6,185,149,7.9,73,"1,882",0.6,KAY/O,53,96,49,0.83,124.9
AdAstra#18200,Silver 3,45.9,1.2,160.8,CO,17.3,241,77,1075,5.7,80,500,15.1,236,"7,770",0.8,KAY/O,57,93,46.2,1.05,143.9
Bhoomi#1234,Silver 2,52.3,1.15,145.9,IN,21.6,248,70.8,813,7.7,88,323,21,159,"4,931",0.7,Chamber,53,89,42.7,1.12,147.6
ghøst#v4mp,Bronze 2,58.6,0.73,109.4,AU,7.4,79,70.7,757,21.9,234,32,8.6,19,353,0.6,Sage,8.5,15,60,0.78,108.7
NarwhaI#NSG,Silver 2,65.6,0.9,129.2,US,13.1,131,73.1,733,13.9,139,152,13.5,74,"1,837",0.6,Viper,36,65,40,0.9,129.9
J03L#UwU,Diamond 2,53.3,0.97,134.8,DE,16.3,181,76.7,852,7,78,786,14.2,396,"12,199",0.7,Fade,125,219,52.1,1.04,140
v12#7217,Gold 3,49.3,1.14,148,US,17.3,240,75.7,1051,7.1,98,247,16.8,131,"4,199",0.8,Omen,65,115,57.4,1.23,153.3
Snoog#2222,Ascendant 2,58.7,0.92,136,FR,25.4,177,68.1,475,6.6,46,735,18.9,377,"11,394",0.7,Chamber,281,481,52.4,1.07,147.4
GliffsSZN#TTV,Diamond 2,50.6,1.09,146.4,US,29.6,266,64.9,584,5.6,50,"1,004",20.2,502,"16,081",0.8,Reyna,169,294,50,1.21,168.3
Breake#MILF,Platinum 1,55.9,1.22,153.1,US,22.9,168,71.5,524,5.6,41,435,20.9,219,"6,905",0.8,Chamber,124,214,56.5,1.16,145.7
portessss#BR2,Platinum 1,51.6,1.01,124.8,BR,19.6,192,71.3,698,9.1,89,989,18.6,497,"14,676",0.7,Astra,103,170,52.9,1.05,124.5
123#UA1,Platinum 2,72.2,1.27,162.2,PL,21.7,227,72,754,6.3,66,471,15.1,232,"7,122",0.7,Sage,98,167,47.9,0.92,125.5
DrDeath#2020,Bronze 3,57.9,0.85,125.7,PH,6.5,91,77.8,1094,15.7,221,170,7.8,78,"2,331",0.7,Fade,53,92,47.8,0.91,131.5
G2K bekkic#1111,Diamond 1,50.5,0.87,118.2,RS,18.5,150,74.6,606,6.9,56,"1,661",18,828,"20,431",0.6,Viper,197,346,50.6,0.72,102.5
ItsLaja#EUNE,Silver 3,50,1.14,159.8,None,18.2,219,74.4,896,7.5,90,226,18.3,110,"3,685",0.8,Reyna,41,76,52.6,1.16,164
MirageGG#balls,Bronze 1,50,0.78,142.4,AU,19.6,221,71,802,9.4,106,41,16.7,17,570,0.7,Neon,6.4,13,61.5,1.02,159.5
MaggotBoi#girl,Silver 2,51.3,1.16,153.6,GB,19.4,256,75.5,998,5.1,68,212,18.6,106,"3,418",0.8,Raze,47,84,51.2,1.2,164.4
OsyRS#quit,Diamond 3,67.9,1.12,165.9,TR,13.5,193,76.3,1092,10.3,147,483,18.8,243,"7,343",0.7,Skye,51,90,53.3,0.99,146.6
Kianu#1111,Diamond 3,47.1,1,138.1,GB,26.1,267,68.2,697,5.7,58,"1,032",24.3,524,"15,135",0.7,Omen,75,139,51.8,0.9,127.4
komok#sussy,Platinum 3,50,0.94,135.2,RU,14.7,195,76.5,1017,8.8,117,"1,313",12.8,636,"18,177",0.7,Sage,120,208,50,0.9,122
bleem#000,Silver 1,42.9,0.92,125.4,US,11.4,62,74.9,408,13.8,75,10,11.4,5,122,0.6,Reyna,1.7,3,66.7,0.95,129.8
ken#bune,Diamond 2,51.6,1.41,150.9,US,19.1,154,75.1,605,5.8,47,679,23.7,343,"10,490",0.7,Sova,75,130,53.1,1.08,137.6
skyetuovi#666,Silver 2,50,1.14,168.8,FI,11.7,178,74.9,1137,13.4,204,163,16.9,75,"2,765",0.8,Phoenix,31,57,43.9,1.13,166.8
maddie#00000,Gold 3,78.6,1.37,170.4,US,24.2,272,70.7,796,5.2,58,725,19.3,355,"10,361",0.7,Reyna,176,321,48,1,152.9
TheReaper#Gods,Diamond 3,57.6,1.1,148.4,TR,19.9,223,74.4,832,5.6,63,"1,711",19.9,838,"28,355",0.8,Reyna,234,405,48.6,1.04,153
HanaRe#uwu,Iron 3,48.7,1,128.2,LK,8.8,160,82.3,1488,8.9,161,154,9.8,71,"1,729",0.6,Killjoy,39,65,50.8,0.95,132.5
VIE ﾌ THUNDRMYST#YP20,Bronze 3,50,1.43,184.3,IN,14.4,188,75.6,984,10,130,58,13.8,29,971,0.9,Reyna,18,36,55.6,1.39,186.1
BuddyLan#4771,Platinum 2,27.3,0.84,128.5,ID,17.3,183,74.4,786,8.2,87,24,17.6,10,338,0.7,Reyna,4.5,8,50,0.79,132
in my headツ#999,Platinum 1,66.7,2.24,166.2,DE,29.8,363,67.1,816,3.1,38,374,22.5,190,"6,032",0.8,Jett,153,267,51.3,1.01,153.9
